"","PN02529AQ","PN02530AQ","PN02533AQ","PN02534AQ","PN02536AQ","PN02537AQ"
"","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Consumo Privado","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Consumo Público","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Inversión Bruta Interna - Inversión Bruta Fija - Privada","Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Inversión Bruta Interna - Inversión Bruta Fija - Pública","Producto bruto interno por tipo de gasto (millones S/ 2007) - Exportaciones","Producto bruto interno por tipo de gasto (millones S/ 2007) - Importaciones"
"T196",33438.2089814629,4804.74035918366,7291.92249424542,2036.99737241371,9641.26607290143,9281.56489060655
"T296",34018.8741852212,5529.65667211197,7817.33553390934,1951.4901906278,9696.26154952266,10262.5166672895
"T396",36007.0387100445,5293.85979958632,7937.30410771103,2090.47522630674,10584.6619007047,10371.2551206386
"T496",36036.8781232715,5990.74316911805,8200.4378641342,2793.10465767602,10359.9031208786,10534.3584302503
"T197",34934.5689744766,5321.03083528478,7963.67306516135,1848.03684422561,10772.7134880775,9969.36414316583
"T297",35514.1005788347,5251.59486665655,8469.33704699565,2169.77895403617,12038.4611490897,11303.7393433392
"T397",36993.2930481551,5873.94485195136,9557.20215003051,2574.86234148413,11651.7648539545,12194.17845544
"T497",37113.0373985335,6815.42944610732,10250.7877378125,3554.93023402291,11096.159547563,11902.5007210366
"T198",34159.5568428462,5573.01215745964,9139.30858700869,2207.1442019327,9924.72019992258,11410.4658482036
"T298",35324.917195768,5268.20553466205,9335.39445454914,2529.70511544315,11084.546222934,12191.5876033846
"T398",36279.1177888912,5907.0113613672,8873.34533788241,2805.36230257237,12852.6229480193,11781.817301553
"T498",35934.4081724946,7095.77094651112,8024.95162055976,3319.21504921675,14237.4709691997,11039.7745686597
"T199",35109.7497900924,5543.20027426006,7032.18469201768,2271.04100596483,12225.3323428703,9322.66911347701
"T299",35132.2206002121,5869.26221993589,7133.98094268504,2955.3317025634,12342.1994880104,9428.632254519
"T399",35563.3920598575,6398.69787939305,7905.64608879541,3401.78288472683,13695.4230430459,9901.35264219842
"T499",33860.637549838,6867.839626411,7909.18827650187,3378.2739577141,13510.6621201209,10728.7151340912
"T100",34941.6169915863,6137.13166668646,7666.96676016215,2498.26890004916,13045.9968328172,9847.20851938111
"T200",35361.2981507339,6366.52887883164,6800.71624940011,2664.41010074339,13487.0215540836,10210.6310176607
"T300",36160.9121008824,6499.80490060691,7354.5726949016,2299.12317665291,14395.5750875716,9962.72151635335
"T400",36727.1727567974,6440.53455387499,7638.74429553614,2740.67987697391,14982.4935321827,10872.4092174406
"T101",35365.178041394,5442.89781147058,6835.20698113511,1377.19811682772,13374.2421923947,10470.7594699879
"T201",36088.8361387899,6292.54983225065,6771.88199513442,2042.44811259495,14760.4152488128,10205.6220311859
"T301",36684.398452901,6448.64869997664,7476.44239829453,1688.97038464873,16212.9720788109,10774.9199999803
"T401",36490.5873669151,7055.90365630213,7005.46862543594,2685.44656301303,15381.8087516848,10621.6540895324
"T102",37166.1463897054,5558.24497115009,6669.32645179125,1428.70120639409,13962.1995052645,9920.45028328472
"T202",37694.3745639918,6165.22460739405,6729.81035976048,1833.54024933716,16446.0932083353,10721.4989905445
"T302",38481.146672972,6561.99664876415,7277.01508524237,1751.18926665347,17663.4449172277,11204.3643413474
"T402",38332.3323733308,6954.53377269171,7468.8481032059,2299.42214032825,16165.1053749972,11203.0828225729
"T103",37520.5468374371,5883.62378179843,7263.93044306472,1540.91140269767,15756.7028748479,11192.888788717
"T203",38830.8734738917,6313.51323827655,7141.39599550967,1808.66584071439,17415.2869637885,10833.4847609785
"T303",39644.7668182747,6661.13848979825,7917.06707296155,1668.3473919243,17691.3183539203,11391.1961276569
"T403",39490.8128703965,7365.72449012678,7592.60648846405,2460.78568304845,17331.0382818035,11427.2641521851
"T104",39277.1525205307,5865.66483743366,7995.78890648417,1283.36695626926,17745.0643846134,11230.2834456434
"T204",40053.8502680755,6519.78928762773,7768.45432631876,1505.87812264631,18074.69564109,12483.3615415155
"T304",40861.6153041885,7083.92457284903,8202.15008989848,1808.71966189535,21453.8308325658,12516.2237466795
"T404",40576.3819072053,7829.62130208958,8368.60667729859,2868.55081940876,21306.5350674067,12901.3551215076
"T105",40601.0209640177,6448.93186876699,8332.65104901013,1265.63505917612,21052.6994323973,12525.2038777091
"T205",41347.8976343276,6928.21638461644,8496.80777706527,1601.48556048562,21703.676547111,13761.5584361422
"T305",42411.0974151885,7494.57394215387,9321.57446009943,1851.11478738524,23669.8072840719,13907.1567726641
"T405",42293.9839864662,8911.27780446269,10065.9667138252,3506.21366024004,24100.4947172632,14277.4136148948
"T106",42939.814766869,6914.68250807644,10649.1347196659,1350.03004424967,20773.3534357839,14643.0601562552
"T206",43935.4254288363,7473.40414469894,10108.3186789793,1913.69066043323,21812.5225641242,14908.2591295206
"T306",45099.6791076646,8081.89606872154,10754.4116598163,2312.29761918351,23832.6170067516,14877.5183464185
"T406",45031.08069663,9576.01727850308,11970.1349415385,4088.74630164165,24832.4350009139,17158.4718719916
"T107",46181,7999,12071.909136935,1337.72932605208,21907.7112191897,17337.8573789556
"T207",47902,7888,12465.3760683569,2083.97898560947,22992.8200763005,17775.2078308524
"T307",48878,8475,14045.4894202903,2679.74249641272,26072.1505107262,19732.060342431
"T407",49355,9062,15043.2253744178,5220.26560934119,26528.7495116124,19891.0580262037
"T108",50198.747,8446,14806.4173311265,2078.03231679175,24826.67227972,21203.1427553109
"T208",53698.142,8409,16481.2923817411,3017.59754890432,25094.5815579795,23037.6753690552
"T308",53716.922,8923,17907.5468740075,3610.15186859301,27175.1352562135,24398.7394083419
"T408",51822.75,9448,17244.9458772208,5650.35313294504,27332.5819020852,24080.5197537831
"T109",51955.703145,9405,14748.120257888,2570.88710687442,24502.6384807567,18978.0433448461
"T209",54288.821562,9432,13848.4458348263,3508.55062500009,24965.1680895664,18025.9314534322
"T309",55382.146582,10205,15611.2366968364,4822.4576394444,26615.9590241426,19218.8928586532
"T409",54258.41925,10769,16358.0091995991,8191.42866187795,27556.8496003632,21037.0051068275
"T110",55488.69095886,10137,17021.9879659695,3036.66650028668,24523.5915722537,21762.9995839624
"T210",59391.970788828,9873,18039.0339864918,5012.07240620413,24702.0463797501,22703.2328113529
"T310",61252.654119692,10588,20170.9194863919,5627.97281432495,28051.3352341307,26492.406516008
"T410",59358.7106595,11438,20934.7845096065,8288.7090838071,27767.364249182,26357.4793043508
"T111",60704.6279089928,10135,19496.111927549,2497.73664592975,25152.0225436421,25151.5605039562
"T211",64618.4642182449,10368,20241.270029941,3618.4952037781,27787.998723948,27478.2620040425
"T311",64560.2974421554,11266,21950.339389103,4461.78528979419,29785.1452221464,27823.6623108424
"T411",62623.4397457725,12294,22830.232161431,8931.12190801805,29585.1830013537,28194.6185171847
"T112",65354.6024068217,10716,22569.8664998314,3275.42067626539,29535.5741836022,27687.5500813028
"T212",69051.2908636165,11276,23740.0144286154,4426.75989383188,27513.3130189999,29202.8309197981
"T312",69014.9579656641,11997,25223.8426611021,5522.35538740709,31272.8013492697,32352.5641262667
"T412",67883.8086844174,13645,26187.8019514874,10082.0655808327,30497.021041706,31039.6669729214
"T113",69022.8607331908,10145.0818006743,25327.3378161716,3737.20590618932,26553.5669452858,30390.2204901934
"T213",73017.1352689384,11487.7521414228,26260.8351816416,5639.07593641305,27944.1878792428,31027.3808798031
"T313",72824.0951147699,11975.4335957332,26471.7001823818,6442.92506416821,31715.5379252614,32994.2030818454
"T413",71993.0706982762,17193.7324621698,26600.4594406901,10068.2703404448,31072.3066122744,30933.187673468
"T114",72455.1024387793,11141.8422770504,25082.5364252205,4051.3239139025,27968.8816277774,30311.7502111196
"T214",76111.0138846889,12055.3122526119,25707.2320647619,5367.13531168209,28018.479905615,30445.9014888506
"T314",75378.8698859967,12776.1868301687,25301.0022588738,6265.86756220632,29997.1912688606,31686.6388201707
"T414",74099.6923681546,17871.7596954507,26246.5385515913,9915.36840054066,30297.3633838389,31179.2465498392
"T115",75045.2848448033,11780.51091181,24123.6254952855,3031.14059170297,27502.8413845071,30804.1638005944
"T215",79079.8974044571,13544.7900767408,23738.5724382366,4765.28927402715,28234.9289904891,31099.9926442293
"T315",78545.3089931245,13618.2262046915,24401.5971474628,5855.68724616299,31269.1212307304,32121.8543013224
"T415",77229.1303495118,20204.4476831392,25798.6417330682,9525.82058995391,33984.2048363545,32511.6990175522
"T116",77644.4678846707,13286.3402273657,23003.2276938425,3982.72182735209,29837.415173161,30196.8156454223
"T216",81342.8086221181,14095.1192753393,22429.0524662323,5055.37607994676,30903.6783656337,29568.4971814333
"T316",81458.4730151739,13847.8966692735,22433.7777907125,5873.88512095016,34866.643589227,31872.2479705748
"T416",79580.7080275156,17561.5555831275,24570.0995500938,8215.10772743899,36874.9538945179,32106.8976493365
"T117",79389.590779849,12172.5701265006,21795.4948638087,3290.86391395285,33144.4699289808,30315.9851849331
"T217",83360.7294516541,13994.5548129113,21853.7086381526,4765.69474187169,35036.5896336654,30875.8333679945
"T317",83696.9042018757,14222.0514161468,23674.9384605997,6196.01144126025,37175.1168246054,33177.7579010821
"T417",81644.337418417,19017.6908446445,25347.8396215583,8348.3325981617,36616.3620376468,34375.024228533
"T118",81902.5205416809,12809.7670171304,22949.7349712236,3422.70199128457,34468.4297195395,32446.4861524228
	 
