,Volatilidad Relativa,Correlaciones cruzadas del PBI real con,,,,,,,,,,
Variables,,x(t-5),x(t-4),x(t-3),x(t-2),x(t-1),x(t),x(t+1),x(t+2),x(t+3),x(t+4),x(t+5)
Producto Bruto Interno, 1.00, 0.02, 0.09, 0.29, 0.60, 0.88, 1.00, 0.88, 0.60, 0.29, 0.09, 0.02
Consumo Privado, 1.19, 0.11, 0.15, 0.30, 0.55, 0.82, 0.96, 0.88, 0.60, 0.26, 0.01,-0.09
Inversion Privada, 2.45, 0.00, 0.06, 0.20, 0.44, 0.70, 0.85, 0.79, 0.55, 0.25, 0.03,-0.04
Consumo Público, 1.52, 0.06, 0.06, 0.20, 0.47, 0.74, 0.86, 0.75, 0.47, 0.18, 0.02, 0.01
Inversión Pública, 2.36,-0.36,-0.18, 0.14, 0.44, 0.57, 0.46, 0.20,-0.06,-0.20,-0.17,-0.05
Exportaciones, 0.82,-0.12,-0.09, 0.02, 0.08,-0.01,-0.23,-0.45,-0.51,-0.40,-0.20,-0.05
Importaciones, 1.94,-0.03,-0.01, 0.11, 0.35, 0.63, 0.81, 0.76, 0.49, 0.15,-0.08,-0.13
Exportaciones netas,0.36,-0.05,-0.06,-0.10,-0.27,-0.52,-0.73,-0.76,-0.56,-0.25,-0.00,0.08
