"","PN01251PM","PN01259PM"
"","Índice del tipo de cambio real (base 2009=100) - Bilateral","Índice del tipo de cambio real (base 2009=100) - Multilateral"
Feb04,116.504048744937,104.402301254778
Mar04,116.100440000633,103.268165057266
Abr04,116.652172447567,103.633509375778
May04,117.513680317585,102.874723020523
Jun04,116.887058918391,102.390557572517
Jul04,115.275828022805,101.541867069986
Ago04,113.810946770267,100.521905504803
Sep04,112.760617716702,100.341863528042
Oct04,112.146550338107,100.21679251279
Nov04,111.518366370607,101.072941316099
Dic04,110.143239609341,101.350001550309
Ene05,109.832354424946,101.078263468204
Feb05,110.407571926096,101.844395862195
Mar05,110.568661171147,101.357114951312
Abr05,111.133784436406,101.372488790132
May05,110.775041723599,101.186088593883
Jun05,110.468516904755,100.017010787375
Jul05,110.839532202703,100.002257361427
Ago05,111.788717907367,101.842692260497
Sep05,115.006433353805,104.411253476475
Oct05,117.620109049502,106.381431014079
Nov05,116.433446214619,105.615229514662
Dic05,117.12710465767,106.962893037609
Ene06,116.37034927147,106.93343798864
Feb06,112.395452245041,103.503074453725
Mar06,114.234351048464,104.685746650683
Abr06,114.354060414495,104.878404775852
May06,113.711372868725,104.818088366415
Jun06,113.566116453835,103.430386234276
Jul06,113.363598299933,103.267195842442
Ago06,113.123605382348,103.61970996145
Sep06,113.002569721985,104.123135199042
Oct06,111.985032689414,103.82580070182
Nov06,111.602951302892,104.488445214765
Dic06,111.158366519924,105.200303296619
Ene07,111.04141130425,104.634211021024
Feb07,111.269884976698,105.226837474864
Mar07,111.728389201701,105.433180192243
Abr07,111.996062776658,106.330171329944
May07,111.749061978144,106.665739758259
Jun07,111.536387593532,106.820890249701
Jul07,110.65500400624,107.331536457672
Ago07,110.205893802272,106.927580791035
Sep07,109.064539530552,106.811979780571
Oct07,104.921561630778,104.226208571767
Nov07,104.769166981046,105.017745615786
Dic07,103.524198201868,104.188058019711
Ene08,102.747583673208,104.508246758571
Feb08,100.568432299123,103.855245355257
Mar08,97.1262209652982,101.467541921627
Abr08,95.3761332762657,100.012119868142
May08,97.8030308840533,101.501825219645
Jun08,101.076607419825,104.598940996006
Jul08,99.5368111520682,103.357066265082
Ago08,100.075846526995,102.79358142121
Sep08,101.900177048651,102.550198387629
Oct08,103.951500085795,100.938078471121
Nov08,102.199403881996,98.8705048755387
Dic08,101.492750829677,99.6629074669263
Ene09,103.04819920233,101.057583432138
Feb09,106.433745363428,102.756872860001
Mar09,104.294140554338,100.148259488171
Abr09,101.579531892518,99.1816131691787
May09,98.9113538868231,98.2639838467233
Jun09,99.9814266542849,99.7410013771329
Jul09,100.370677786114,100.64393276229
Ago09,98.7318048160488,99.8010201317871
Sep09,97.5094990238268,99.303071368534
Oct09,96.2146188861227,99.0882409339907
Nov09,96.8178507046844,100.312999150249
Dic09,96.107151229482,99.7014214798039
Ene10,95.4485596488343,98.9532942293692
Feb10,95.0829728766255,97.8369860381039
Mar10,94.7159353179433,97.6246409525706
Abr10,94.8753485855868,98.0216660665793
May10,94.9120428970153,96.3553683596915
Jun10,94.3344933421321,95.2834478293401
Jul10,93.5075963081546,95.8851218929611
Ago10,92.6980916149827,95.8282493205676
Sep10,92.4046495448688,96.6246296447012
Oct10,92.6788615458817,99.125403282998
Nov10,93.1794790341144,99.6430335366972
Dic10,93.5080669565769,99.7226170355359
Ene11,92.6365418927052,99.5885708045494
Feb11,92.1890173279601,99.7221173476971
Mar11,92.7344315606496,100.35529648399
Abr11,93.9090927473324,102.676311460302
May11,93.0097614472701,101.610986391933
Jun11,92.4541762615315,101.587130025511
Jul11,91.0522762354607,100.695071786518
Ago11,90.997031854099,100.736403652047
Sep11,90.9795441621336,98.7744678679207
Oct11,90.1105701874305,97.338379917438
Nov11,88.7659410784165,95.7997555219888
Dic11,88.024090572438,94.4909682305498
Ene12,88.3827857062436,95.4053288202697
Feb12,88.1842411956044,96.3231119543648
Mar12,87.766977314189,95.0224012273902
Abr12,87.108603402602,93.9460867051699
May12,87.3730500454582,93.0501347892411
Jun12,87.3195333077762,92.0714290808016
Jul12,85.9398247869123,90.9700113973203
Ago12,85.3586692732592,90.5256444737
Sep12,84.8472319676819,90.7216796488551
Oct12,84.4568668325849,90.8170461053019
Nov12,84.5310473909639,90.840969845809
Dic12,83.0588958130531,89.9922300777628
Ene13,82.7229025223533,89.9946341872079
Feb13,84.3283040692821,91.4915408726267
Mar13,84.3062934019931,90.5697007723396
Abr13,84.1216781459325,90.6280741616037
May13,85.6268357668511,91.8541222024945
Jun13,88.9463501593564,94.7870721398923
Jul13,89.436994932204,94.8760812084497
Ago13,89.8636847591267,95.3860589065972
Sep13,89.1273256513376,95.1936643038657
Oct13,88.5614829299197,95.8352449188111
Nov13,89.501702922309,96.3871361491846
Dic13,88.9347647982865,95.933174182332
Ene14,89.740273562944,96.4065319503481
Feb14,89.6526853036653,96.0898752299704
Mar14,89.5644963203405,95.8851528285546
Abr14,89.1248815478614,95.7994857414645
May14,88.9990802267393,95.6880339718575
Jun14,89.2550667565687,95.7656590911805
Jul14,88.5764251165291,94.9837507615298
Ago14,89.4057948158154,95.5962212899447
Sep14,90.9001142539453,96.3649334254601
Oct14,91.6570801312933,96.5546692399056
Nov14,91.896488159102,96.0700102012867
Dic14,92.3020224625189,95.913926200263
Ene15,93.0748408177971,96.3595627383269
Feb15,95.4598539219444,98.2146983256156
Mar15,95.7065693991735,96.3231731002342
Abr15,96.4016047690014,97.5357988176725
May15,97.2910369701053,98.7567910381034
Jun15,97.6416522212609,98.3865861278747
Jul15,97.8253676287242,97.6240581575192
Ago15,99.066706583626,97.1005988468161
Sep15,98.2823723687664,95.6041422507238
Oct15,99.0051707223177,96.9363451832274
Nov15,101.132815027983,98.3364704085656
Dic15,101.724032036305,98.5193963949999
Ene16,103.154331894166,98.6056301065787
Feb16,105.116014829562,101.577690473538
Mar16,101.991896037054,99.6338844111828
Abr16,99.2812321763423,97.9897220977916
May16,100.444002239663,98.3868151752781
Jun16,100.115630197985,97.7099083806383
Jul16,99.3349338133652,97.0717973372944
Ago16,100.101600942449,98.510631891454
Sep16,101.615130800614,99.7469714980805
Oct16,101.432546162382,98.9289128852871
Nov16,101.487144591427,97.5926200507537
Dic16,100.958093400711,96.0716093846638
Ene17,99.6538393053771,95.2862668242698
Feb17,97.2534011742663,93.7332654199139
Mar17,96.1944053873573,92.6153148751546
Abr17,96.2438817848745,93.0312933162495
May17,97.4953571865018,94.287777174859
Jun17,97.588177949482,94.8094185530883
Jul17,96.7655734264484,94.795978306214
Ago17,96.1850262952281,95.296521494588
Sep17,96.8508343554335,96.5073088830126
Oct17,97.3920971281158,96.3423881018534
Nov17,97.2711148200262,96.0752189790514
Dic17,97.2312356427405,96.5762341005411
Ene18,96.7035964436908,97.9233093872683
Feb18,97.9004971335812,99.9295370318032
Mar18,97.7521655962007,99.2191638672715
Abr18,97.6324982658863,98.6548996402
May18,98.998329100394,98.1724148855949
Jun18,n.d.,n.d.
	 
