"","PN02508AQ","PN02509AQ","PN02510AQ","PN02511AQ","PN02512AQ","PN02513AQ","PN02514AQ","PN02515AQ","PN02516AQ"
"","Producto bruto interno (índice 2007 = 100) - Agropecuario","Producto bruto interno (índice 2007 = 100) - Pesca","Producto bruto interno (índice 2007 = 100) - Minería e Hidrocarburos","Producto bruto interno (índice 2007 = 100) - Manufactura","Producto bruto interno (índice 2007 = 100) - Electricidad y Agua","Producto bruto interno (índice 2007 = 100) - Construcción","Producto bruto interno (índice 2007 = 100) - Comercio","Producto bruto interno (índice 2007 = 100) - Servicios","Producto bruto interno (índice 2007 = 100) - PBI Global"
"T293",64.228695295242,50.1550816892323,45.4792149379373,50.6390395695239,46.601501936696,39.0389819017799,51.647428232882,54.95803349409,52.1082004607756
"T393",52.8197486953307,34.2758505182279,48.8629841932017,50.8101794704977,46.0991101300813,46.2834258095309,48.027807601458,52.9469501595825,50.9034184295743
"T493",45.6947524455758,55.1975653150764,49.6998362251439,52.166996456391,46.9101124886213,47.9931191580069,47.5699438212163,54.3729880412466,51.6795741648658
"T194",49.5777867235306,57.5134369897866,46.4342481431093,51.6385609749273,48.1597992424381,45.337579034803,51.595209793493,60.1002942816246,54.2691744446318
"T294",76.8163681756844,81.0019140077722,48.3266443294285,59.4738196103566,49.713413781223,47.6429890823885,61.3116619993138,59.3874412882862,58.4434541197672
"T394",57.260601132176,36.3918956335776,48.1660534710323,58.7080124043972,51.5837336783386,59.1331261358916,55.7984839704276,58.4337684082757,56.421681054863
"T494",50.2972082156487,68.7475757038891,47.9211321528302,61.8380343354628,51.1606736431412,72.7229574422264,57.2650778969065,60.8024382090307,58.6387295713057
"T195",54.1938635484441,65.3677859449943,48.1448875423205,59.5537194722346,50.4488059593595,62.8957752691643,61.3134209881267,62.4718337187051,59.1574113482944
"T295",81.9448024089424,68.7545246430777,48.6103450262803,64.1259214569469,49.8974622890991,62.4300208083467,69.4053673590216,64.6843713754112,63.455407753282
"T395",61.637660720895,21.8899377912127,49.4767947310346,60.6825897582664,51.0130515875824,66.2436052550425,61.1824824296886,65.1758869858099,61.0530744946243
"T495",50.5617121002631,50.9251458677544,50.1595006355167,60.3933530700929,50.1302351140043,73.2832960238011,58.631968304824,65.7200733109254,60.9888519433745
"T196",55.778768741567,45.6874717496216,50.1590396564704,58.07026707297,51.5661038700752,57.7399627278306,60.6965075600639,64.8265692925971,59.913306359749
"T296",88.062199645415,68.1494038647198,51.3273319167311,64.101773754003,52.9059438014996,55.7704762782934,70.8913743209494,66.6422799983675,64.9543335491853
"T396",65.8816792088899,20.5165054318241,52.3650987062609,62.3169135193634,54.0926988483975,66.5523826197282,59.8869191248799,66.7903482169452,62.650889748411
"T496",54.742054906765,67.8462805443592,53.6095251009961,64.5613296379917,53.5333461230795,77.3695836236811,61.2344223398364,67.7132417422149,63.9843898700567
"T197",63.1614568157035,49.8891365270025,54.5059994741423,58.9782199719603,54.3264662258181,64.53653116973,64.840214864995,67.1198251526194,63.0165340437049
"T297",91.7847816859604,100.624427749359,56.2333774657908,70.0149379295958,57.7023733056544,63.5673069101918,77.3988846765987,71.1782699506707,70.3005639938863
"T397",63.683147702855,22.915506451865,56.2550505909581,65.6435635950376,63.7665365310899,77.0355131247516,65.6897576018617,70.5901873894913,66.6633781272153
"T497",57.3483701141476,28.0937719113674,57.1666462946122,65.6699186846155,64.7132524569653,90.6564512927647,64.0691758651194,72.3654643564108,67.8117895721577
"T198",63.8586450441708,14.7057632502457,56.6072785035772,60.359865658615,62.4920957830773,68.3428884998227,65.8761022242252,68.5559876790342,64.4204070509655
"T298",88.3982344926801,51.0258178526089,55.9352576781043,63.8724245465019,62.8694885911151,63.4242738005453,75.6655856805547,70.2628462786807,68.1638352793959
"T398",62.4373059142949,24.8832339102013,59.0896200822629,65.4790026913783,63.0732298516027,81.535000625254,61.8415820049816,70.9169125342372,66.9577715723863
"T498",61.6400770876891,91.4494827872826,60.5913249528254,63.4745774691916,63.3363029404174,84.864065596187,61.459831789842,70.4298236043789,67.2012820963881
"T199",69.0226604203155,34.6541238787736,62.327297273809,57.0132455834814,64.9747829818684,61.8969822508546,62.0678186025276,67.6958734497715,64.0798544433113
"T299",101.855147228007,84.4333996346249,63.2234107320124,63.1084488376912,65.0462726801846,59.5562230968591,73.9668723214488,69.5206664592944,69.4638708391623
"T399",72.2481931725114,22.7685832817375,63.5872150212199,60.5188702952313,65.7591271005381,66.8118696784331,62.524402675604,70.5666150887083,66.5589860863198
"T499",64.0145933313843,99.7682586870975,65.2332091964399,69.038714938138,67.2534230503062,79.7688698676596,64.1080238359546,73.8672942184763,70.6280319625349
"T100",71.7902611304122,68.7242825237662,63.042952974247,65.6506767847861,68.5485494031052,66.3174802805616,66.1684989217073,71.3911017175634,68.4091752229652
"T200",110.431733180139,99.2864263172573,63.2971527832059,67.8816088479003,67.2914104038379,56.2625811562798,78.7728918437106,73.143037790497,72.8893159788143
"T300",76.000754032109,48.3089653442278,64.3369275354628,64.3562949633247,68.2372588689978,67.3842408382971,63.7845883490847,71.5119956748134,68.3427383381756
"T400",66.7431504041364,73.0204273375914,65.9254246518241,65.6523350612315,68.4023453567567,59.3134019981792,63.8621513216163,72.3262160543497,68.3838421921605
"T101",71.5458872575184,65.7418367707816,61.2196457593044,62.5458282735954,68.233306744442,43.6334558545494,66.4873752028669,67.6381404966894,64.7626808574835
"T201",109.007339923625,116.807090429305,63.5662013152674,70.9883557067107,67.9613030708066,54.825173416293,78.0502524535135,72.611589805389,73.1089377763205
"T301",75.7214153462034,30.8461057680315,76.1245486394919,66.4474316013914,69.7080580589201,60.991316549833,65.5230393533572,71.7465188103729,70.2169528847986
"T401",66.1328012140672,38.3816167780744,81.143121238782,65.8468599905514,71.8811650050321,72.6153769280197,64.7403287796713,73.4669510929623,71.654225427655
"T102",76.7052863552334,46.5679564160752,76.0091771970066,66.0067670294792,72.3349431627543,56.1315445278604,66.3427892991135,69.1158515356412,68.9883971757702
"T202",114.55749977756,107.523064799383,75.6357851092872,75.4856801541574,73.1075563320786,55.7623053039014,82.038205960295,76.0674983848304,77.9588054855923
"T302",77.9447544974702,35.8326703253532,77.8545382831467,69.9591077497618,73.233770471601,64.8541993331059,67.2640343690067,74.8855188836976,73.0756011190305
"T402",69.5153051451339,68.7903524524206,80.6373424333087,72.0256163000443,75.5289979718042,75.2857694457043,67.2329247005026,76.7582026342244,74.9765068000325
"T103",77.4730013977544,29.211862255279,77.7108043149191,69.0790008167064,76.3775890295789,60.7391179419387,70.8287699154435,74.5378884692965,72.8815086012741
"T203",118.896895508081,109.76807481145,80.5507694461971,77.2333130806677,75.9471405733691,59.6868340663716,84.1511302997943,80.2257916685061,81.5813775280002
"T303",79.1535029659316,26.6346237250117,81.3571444312415,73.733344269107,75.7149249588349,65.2378944352369,68.3575064291546,77.9300606492191,75.7622890241396
"T403",69.9101488313328,74.1485525754338,82.8165646456097,74.4832065938331,77.5007632402153,75.9443131723335,68.1461351695424,79.2713845702192,77.060395092045
"T104",79.8511163260298,45.1449661677659,83.8002795339867,73.2216392247159,79.6851652639479,65.2472910717728,72.5990520430579,76.8465167377916,76.21538884499
"T204",113.425166021233,143.206222053202,82.8896432583902,82.4387694329869,79.821957223803,63.6191033128507,87.4869866214173,83.1456679760952,84.6308340550066
"T304",78.2480530454029,49.7622773697318,85.07503263013,78.1581229408657,79.9423649376625,68.1848687494857,72.4144946392592,80.633861970985,79.0079896002603
"T404",72.2105667216865,98.265553021822,89.9590923418094,82.6391962589029,82.8030103039236,77.3822583202142,75.7639041059837,83.62858889451,82.6674405098209
"T105",80.2943953128732,50.3831429235437,89.8743514127942,77.3489764160735,83.0849158325129,68.4743742210689,77.0389008233294,81.2368036276733,80.5033449140572
"T205",119.014864253947,155.090562466142,90.1317272444083,88.7134774158439,84.7333269696951,63.4203843334029,92.3141074826325,86.5134549512358,89.2235586552669
"T305",82.1704570848205,43.8151920176538,95.2276776288251,83.6440843644424,84.3883311524098,72.5489230014685,75.3240734139673,84.9514284155751,84.1179836870336
"T405",73.93600585251,103.672185502982,101.616239355914,87.5906594255456,88.2112280435658,93.8469955949004,79.4831051442561,88.768180463188,88.9479230257231
"T106",84.4145965441189,67.9245581292559,94.3084884207238,85.2950265113002,89.9062327491982,77.1725722649639,85.7215256672386,87.6199130397065,87.1720860785146
"T206",127.572924520297,149.903618152755,95.5182338063848,91.7153426260536,89.4599064760443,76.8562772913597,100.664906965953,91.5533134914636,94.8709364683943
"T306",93.1821558794331,35.2664646713909,96.0744052697523,90.0391081264861,91.3072167070789,85.1690889717147,85.745315643834,92.3971848335088,91.0952311025357
"T406",81.9960828945137,112.895206762334,98.113515578185,94.7659873149577,95.5391781276241,103.851849541705,90.5322957344072,96.5225958653815,95.4626625194185
"T107",88.7381100588178,62.9119869238634,92.6761614224701,91.9563947788881,97.7920613609557,81.5886448741408,94.2811908202603,92.6597957990811,91.7803299755361
"T207",134.803264401632,173.840197191118,96.1662163340016,102.940789572871,98.8988372204972,88.9029546544736,95.878461570567,98.515376998571,100.8788192918
"T307",90.3173487303477,36.4592062355304,103.739806502223,98.3191338516501,99.3361851655196,102.884617093546,104.965764976311,102.433791398825,100.958208663506
"T407",86.1412768092022,126.788609649488,107.417815741306,106.78368179659,103.972916253027,126.62378337784,104.874582632862,106.391035803523,106.382642069158
"T108",93.5407731183405,70.0368570064057,100.312568639414,103.569175212259,107.400782452458,98.5671080120667,104.873709780443,101.179211724187,101.11338170228
"T208",146.801250560908,173.223276978309,105.769022923385,114.690233284714,107.415823327125,112.50312480829,108.912348744127,107.21896753291,111.540062687034
"T308",99.3947939920943,39.3317938528791,110.888424997821,106.748692004999,108.271409313607,123.13365673018,118.792939767251,111.508896506371,110.655958964894
"T408",92.2648583273117,129.590469716383,115.340634533252,109.434308085388,109.24623237897,133.063373594204,111.284909140827,114.86225238434,113.263189435891
"T109",95.9700484444769,53.4881330422449,105.682968709143,99.8904028999457,108.725106035442,104.195764895767,102.411159528808,106.374330223746,103.718171525982
"T209",146.881191838042,175.68452805223,106.570652837096,102.172067155752,107.736477336326,111.342421318721,106.609001856072,110.120732800836,110.640119304877
"T309",100.965203891936,40.7429607686291,111.187457508934,96.4591380020807,107.693534549234,128.880031324384,117.452004872852,114.171852425928,110.459702936679
"T409",93.9103023010222,128.053752938345,113.027150701647,106.742980482663,112.756859719684,154.693083612607,115.314094252264,119.678487012224,116.335260035982
"T110",100.275511152589,63.525523043349,106.489192016038,104.070786570859,115.462981918798,115.178763548522,111.725097220853,112.754329986276,109.377693399058
"T210",151.570464948597,139.778282665701,110.704148871263,115.636839919264,117.208740637373,137.544172486108,121.458249947498,120.561133372208,121.225377868273
"T310",103.410438114164,50.2575083513078,110.368360498562,111.312297287593,117.333281986064,153.541131731254,133.180780859305,125.681820579814,121.264867870522
"T410",101.197394296037,66.404878847344,114.467427874139,117.822075211171,122.365653472417,181.907766016562,130.547053184158,130.930199134423,126.566059476568
"T111",104.902081110303,93.0857474256567,107.667915976641,117.623633733248,124.752792870625,122.779694626482,124.481749255256,123.17531142311,118.859383675623
"T211",155.886392162819,186.728516612302,107.714669223394,124.679136105376,126.589814094426,132.346722292902,132.482056351782,129.214058946509,127.842701805042
"T311",111.180847688956,67.854793631644,112.753159592086,120.897579020479,126.059750419573,152.293892731881,144.284692986917,133.121930428919,128.380080213563
"T411",103.190557660136,141.670667652002,116.760977948226,124.083451588133,130.790287155365,201.711233577788,140.092112361554,138.612473773218,134.221427939417
"T112",108.758933167719,62.5360141556624,110.917257909875,120.047039132334,133.093720816298,144.14315473781,134.936591113606,131.825022054864,125.956890271035
"T212",169.109186897914,135.814155746973,112.713030593567,123.718147908255,133.38545565585,157.848442860302,141.605933503214,137.844138318123,135.080691700074
"T312",115.094969904113,65.8378740110516,117.302701995991,124.968356254546,134.093248699954,182.400944879516,154.144052796999,143.161904182604,137.162544459517
"T412",110.167418636154,67.4532709588532,116.42776954589,125.632657452345,137.193412750847,221.104748354186,149.79714940538,149.674279396019,141.408794948575
"T113",116.393456236106,71.683401099281,109.447042112787,121.559595603771,139.151410396947,159.4381096943,141.816721297324,140.207403293633,131.911097942057
"T213",168.878148751968,122.811231620011,120.64538215811,129.829579249198,141.125678369387,182.765123667078,150.601393101535,146.785868466467,143.50059814858
"T313",115.745875263006,70.2988773670449,124.514936517912,128.819945842765,141.878944402453,196.332381774234,162.20166888578,151.652874267658,144.427481384017
"T413",115.703073735121,148.934335560327,125.083807247451,138.720320007502,144.87507850897,230.140487699294,159.872284283932,158.27176990625,151.269629238949
"T114",117.773460751327,68.2733386066391,114.721558712676,125.80415610012,147.138132314966,167.635979691587,149.166836158354,148.525200790793,138.508248641364
"T214",170.377502463338,111.83184254388,115.454350128647,125.494805326313,148.005886675207,183.005501651668,157.276168982059,154.292826945053,146.267230321022
"T314",119.03170358383,59.6279944261328,120.742744639705,124.057723480467,148.219088104194,196.509736484164,168.671923401,158.573459877468,147.136402479996
"T414",117.671998694057,58.416922617157,124.582659051899,124.934077734985,151.404499100138,236.32856687345,166.52682513061,165.903320171779,152.94021808004
"T115",119.240020080954,61.983888591754,119.790224823099,119.290064226285,153.748568457256,156.275646689202,154.565897369952,154.924922434374,141.190947241438
"T215",177.303030466126,152.71295925136,124.189219703212,125.656240773979,155.53984417339,167.242113113485,163.233788883608,160.482800312022,151.006145200668
"T315",124.677129138842,46.7558827636987,133.125832789511,121.539867185166,157.177636697276,183.118723054111,175.669862325225,165.252696990018,151.956302034416
"T415",121.801424035419,84.0083257903379,143.382595848039,126.473695621461,163.594228000333,231.264377704339,173.052830902635,172.715068865458,160.038234751939
"T116",122.324895559049,63.0762708117831,138.631484725789,116.175132205288,169.537506478092,159.507465712677,158.858309340605,161.954447678354,147.639559018524
"T216",180.300417420923,61.6722544525094,153.477085650781,115.594079497006,166.796387117705,168.797866656134,166.988840321629,167.365639798825,156.835413478425
"T316",127.800992196893,78.6928549239745,154.368098962591,124.204608251509,167.631109658517,176.437266449967,178.210440575503,172.086175628828,159.069498322097
"T416",127.062983117375,107.173600866977,158.821138004501,130.145028617247,172.262455590768,209.956492283353,174.540723251966,178.056429294125,164.985162648033
"T117",122.027496584902,86.9896402550733,144.371515894515,118.88638755941,171.393405742595,151.133341959543,158.986161789573,166.964298327016,150.963387672722
"T217",181.572936167661,141.121583330772,156.386809603927,120.789790419404,169.47887897034,164.061415662187,168.491153907496,172.242841572257,160.947206803926
"T317",136.682241613941,44.9975930066494,160.966051015266,122.065789311635,170.431440602823,187.018190444119,180.631721640237,177.930135551882,163.432951234857
"T417",132.755029297828,52.0085771442517,162.866428557341,123.187160461143,172.630267084913,229.178633597445,177.475095247245,184.767679568275,168.682409075163
"T118",128.949965066536,92.3279621075662,145.23016598222,120.118453915345,173.808427791506,158.867792604646,163.282207872905,174.029370801202,155.825024805977
	 
